,Year,Country,Losses,ISO,Alpha_2,Continent,Zone
4100,1994,Germany,1179488.0,DEU,DE,EU,Temperate
4115,1994,France,173669.0,FRA,FR,EU,Temperate
4116,1994,United Kingdom of Great Britain and Northern Ireland (the),266902.0,GBR,GB,EU,Temperate
4134,1994,Italy,17001302.0,ITA,IT,EU,Temperate
4172,1995,Germany,569027.0,DEU,DE,EU,Temperate
4173,1995,France,1244748.0,FRA,FR,EU,Temperate
4174,1995,United Kingdom of Great Britain and Northern Ireland (the),1155837.0,GBR,GB,EU,Temperate
4176,1995,Luxembourg,17782.0,LUX,LU,EU,Temperate
4177,1995,Netherlands (the),2098289.0,NLD,NL,EU,Temperate
4186,1995,Germany,372713.0,DEU,DE,EU,Temperate
4194,1995,Spain,1465779.0,ESP,ES,EU,Temperate
4197,1995,Georgia,3912.0,GEO,GE,AS,Temperate
4223,1995,Kazakhstan,5335.0,KAZ,KZ,AS,Temperate
4240,1995,Macedonia (the former Yugoslav Republic of),435662.0,MKD,MK,EU,Temperate
4264,1996,Italy,55282.0,ITA,IT,EU,Temperate
4279,1996,Czech Republic (the),62193.0,CZE,CZ,EU,Temperate
4280,1996,Germany,864.0,DEU,DE,EU,Temperate
4286,1996,Spain,996118.0,ESP,ES,EU,Temperate
4287,1996,Spain,34551.0,ESP,ES,EU,Temperate
4290,1996,France,10365.0,FRA,FR,EU,Temperate
4291,1996,France,17.0,FRA,FR,EU,Temperate
4293,1996,United Kingdom of Great Britain and Northern Ireland (the),518272.0,GBR,GB,EU,Temperate
4322,1996,Ireland,1728.0,IRL,IE,EU,Temperate
4349,1996,Mongolia,2958985.0,MNG,MN,AS,Temperate
4373,1997,Spain,8441.0,ESP,ES,EU,Temperate
4382,1997,Czech Republic (the),3123002.0,CZE,CZ,EU,Temperate
4383,1997,Germany,607719.0,DEU,DE,EU,Temperate
4394,1997,France,16881.0,FRA,FR,EU,Temperate
4395,1997,United Kingdom of Great Britain and Northern Ireland (the),166110.0,GBR,GB,EU,Temperate
4397,1997,United Kingdom of Great Britain and Northern Ireland (the),253216.0,GBR,GB,EU,Temperate
4398,1997,Georgia,16881.0,GEO,GE,AS,Temperate
4399,1997,Georgia,32918.0,GEO,GE,AS,Temperate
4407,1997,Hungary,16881.0,HUN,HU,EU,Temperate
4421,1997,Italy,1350488.0,ITA,IT,EU,Temperate
4435,1997,Moldova (the Republic of),84405.0,MDA,MD,EU,Temperate
4466,1998,Italy,47708.0,ITA,IT,EU,Temperate
4474,1998,Czech Republic (the),86440.0,CZE,CZ,EU,Temperate
4476,1998,Spain,69996.0,ESP,ES,EU,Temperate
4478,1998,United Kingdom of Great Britain and Northern Ireland (the),831153.0,GBR,GB,EU,Temperate
4479,1998,United Kingdom of Great Britain and Northern Ireland (the),332461.0,GBR,GB,EU,Temperate
4499,1998,Ireland,83.0,IRL,IE,EU,Temperate
4510,1998,Kyrgyzstan,3990.0,KGZ,KG,AS,Temperate
4532,1998,Netherlands (the),881022.0,NLD,NL,EU,Temperate
4535,1998,New Zealand,124673.0,NZL,NZ,OC,Temperate
4557,1994,Romania,5484.0,ROU,RO,EU,Temperate
4609,1995,Korea (the Democratic People's Republic of),26673163.0,PRK,KP,AS,Temperate
4613,1995,Romania,6046.0,ROU,RO,EU,Temperate
4652,1996,Korea (the Democratic People's Republic of),3800659.0,PRK,KP,AS,Temperate
4721,1997,Poland,5908383.0,POL,PL,EU,Temperate
4724,1997,Korea (the Democratic People's Republic of),17.0,PRK,KP,AS,Temperate
4728,1997,Romania,185692.0,ROU,RO,EU,Temperate
4737,1997,Slovakia,101287.0,SVK,SK,EU,Temperate
4749,1997,Ukraine,28698.0,UKR,UA,EU,Temperate
4750,1997,Ukraine,57396.0,UKR,UA,EU,Temperate
4787,1998,Romania,249346.0,ROU,RO,EU,Temperate
4821,1998,Slovakia,74804.0,SVK,SK,EU,Temperate
4834,1998,Ukraine,2093.0,UKR,UA,EU,Temperate
4857,1998,Belgium,831.0,BEL,BE,EU,Temperate
4861,1998,Switzerland,1662.0,CHE,CH,EU,Temperate
4879,1999,Austria,52055.0,AUT,AT,EU,Temperate
4880,1999,Austria,67622.0,AUT,AT,EU,Temperate
4883,1999,Belgium,791.0,BEL,BE,EU,Temperate
4884,1999,Belgium,81336.0,BEL,BE,EU,Temperate
4898,1999,Belarus,7125.0,BLR,BY,EU,Temperate
4909,1999,Canada,163.0,CAN,CA,NA,Temperate
4910,1999,Switzerland,536815.0,CHE,CH,EU,Temperate
4911,1999,Switzerland,1114298.0,CHE,CH,EU,Temperate
4912,1999,Switzerland,2440069.0,CHE,CH,EU,Temperate
4932,2000,Austria,31472.0,AUT,AT,EU,Temperate
4934,2000,Armenia,157358.0,ARM,AM,AS,Temperate
4935,2000,Bosnia and Herzegovina,248625.0,BIH,BA,EU,Temperate
4958,2000,Azerbaijan,157358.0,AZE,AZ,AS,Temperate
4970,2000,Bulgaria,79.0,BGR,BG,EU,Temperate
4971,2000,Bulgaria,27695.0,BGR,BG,EU,Temperate
4974,2000,Belarus,47679.0,BLR,BY,EU,Temperate
4984,2000,Canada,20456.0,CAN,CA,NA,Temperate
4985,2000,Switzerland,519280.0,CHE,CH,EU,Temperate
5012,1998,Germany,249346.0,DEU,DE,EU,Temperate
5021,1998,Spain,1662.0,ESP,ES,EU,Temperate
5024,1998,France,249346.0,FRA,FR,EU,Temperate
5026,1998,United Kingdom of Great Britain and Northern Ireland (the),831153.0,GBR,GB,EU,Temperate
5027,1998,United Kingdom of Great Britain and Northern Ireland (the),1106098.0,GBR,GB,EU,Temperate
5041,1998,Netherlands (the),166.0,NLD,NL,EU,Temperate
5045,1999,France,813356.0,FRA,FR,EU,Temperate
5046,1999,France,13013702.0,FRA,FR,EU,Temperate
5047,1999,Hungary,208870.0,HUN,HU,EU,Temperate
5072,1999,Germany,699486.0,DEU,DE,EU,Temperate
5073,1999,Germany,10134.0,DEU,DE,EU,Temperate
5074,1999,Germany,2602740.0,DEU,DE,EU,Temperate
5075,1999,Germany,244007.0,DEU,DE,EU,Temperate
5078,1999,Denmark,4237488.0,DNK,DK,EU,Temperate
5080,1999,Spain,162671.0,ESP,ES,EU,Temperate
5081,1999,Spain,5205481.0,ESP,ES,EU,Temperate
5089,1999,France,17552.0,FRA,FR,EU,Temperate
5090,1999,France,6506851.0,FRA,FR,EU,Temperate
